,Unnamed: 0,Name,Drug,pocket NUM,COM,dist
0,0,1a27,EST,pocket10_atm.pdb,"[5.501724019730302, 9.420596650477789, -14.895504289869645]",10.853281476393386
1,1,1a27,EST,pocket11_atm.pdb,"[6.133360536558679, 8.648518299286668, 17.111860528004957]",25.962744015077536
2,2,1a27,EST,pocket12_atm.pdb,"[27.510169019930256, 3.878832715374334, 9.750066241023614]",22.908240874354725
3,3,1a27,EST,pocket13_atm.pdb,"[17.597631379638408, 1.8817889368939928, -19.47770735411026]",13.210422815001522
4,4,1a27,EST,pocket14_atm.pdb,"[5.709806623665804, 13.355563891645776, 0.029073670272551123]",12.988903070371144
5,5,1a27,EST,pocket1_atm.pdb,"[14.800380996868393, 0.31934217539484616, -2.99889672382261]",7.603575368431814
6,6,1a27,EST,pocket2_atm.pdb,"[9.348001110150834, -7.768004383874102, 22.742301223123672]",33.65369753902078
7,7,1a27,EST,pocket3_atm.pdb,"[11.047483375174732, -6.5787102541080404, 8.206393296666473]",20.387182907925897
8,8,1a27,EST,pocket4_atm.pdb,"[14.353409361711682, 2.7733444196829744, 21.447369205722136]",29.44708197266462
9,9,1a27,EST,pocket5_atm.pdb,"[28.826932560336328, -1.5630174688534126, 22.09361991182194]",34.67307804633933
10,10,1a27,EST,pocket6_atm.pdb,"[1.9072855465087228, -2.2508755201208093, 18.955326223016854]",30.06139421718683
11,11,1a27,EST,pocket7_atm.pdb,"[0.4000234938203921, 12.776591733180448, -8.735537757022577]",14.313105715497597
12,12,1a27,EST,pocket8_atm.pdb,"[5.594926050832911, 0.7366857031417801, -17.98339930839366]",13.574063212574254
13,13,1a27,EST,pocket9_atm.pdb,"[5.547010936421181, -13.708730000362639, -2.469934828426549]",21.627537494870253
14,14,1a28,STR,pocket10_atm.pdb,"[44.564640145725825, 11.81015735158703, 81.35060619109636]",44.834734390745
15,15,1a28,STR,pocket11_atm.pdb,"[29.759157165444403, -7.9412808432915085, 72.83244306501459]",51.62112872504854
16,16,1a28,STR,pocket12_atm.pdb,"[43.68506423655132, -3.0555184218763336, 77.9192097999738]",51.09256856469687
17,17,1a28,STR,pocket13_atm.pdb,"[23.36081010380586, 13.72950996618857, 49.43174918025617]",24.81717133451681
18,18,1a28,STR,pocket1_atm.pdb,"[23.098528942779883, 10.27517888819353, 60.595929424884694]",32.291321244543596
19,19,1a28,STR,pocket2_atm.pdb,"[23.467445089951894, 6.76885310408788, 73.32070657482404]",42.67233465345549
20,20,1a28,STR,pocket3_atm.pdb,"[33.6040866065515, -2.411586700725671, 62.791625235854916]",41.18608487984868
21,21,1a28,STR,pocket4_atm.pdb,"[27.14946527951482, 21.421506899103495, 71.27518128285958]",32.35981654543194
22,22,1a28,STR,pocket5_atm.pdb,"[20.045455901146166, 11.512150780289106, 75.91714691914834]",43.10817698582315
23,23,1a28,STR,pocket6_atm.pdb,"[31.5434141366204, 18.18688097475651, 82.96821952126596]",43.25134756926263
24,24,1a28,STR,pocket7_atm.pdb,"[36.71558783176422, 11.156610187754143, 66.46491003661515]",32.48900601586414
25,25,1a28,STR,pocket8_atm.pdb,"[38.74278972750632, 14.487577847917068, 82.5403609063016]",44.028959330448465
26,26,1a28,STR,pocket9_atm.pdb,"[38.030318739885814, 12.752378491969484, 61.39443253582533]",27.830306625077775
27,27,1a29,TFP,pocket10_atm.pdb,"[17.91854834048451, 0.7507426925055106, 2.2183828214741785]",15.847627927151091
28,28,1a29,TFP,pocket11_atm.pdb,"[8.271777394290616, 14.184815582750405, 9.568798964131839]",14.651337177288088
29,29,1a29,TFP,pocket12_atm.pdb,"[34.71994623499442, -7.536341883925669, 17.69096055486381]",25.437422732317298
30,30,1a29,TFP,pocket1_atm.pdb,"[15.580318330696821, 9.181347752748245, 8.251365983512315]",12.112196070067332
31,31,1a29,TFP,pocket2_atm.pdb,"[14.881107828543676, -0.8872753351979036, 13.73893346687592]",5.326913486089622
32,32,1a29,TFP,pocket3_atm.pdb,"[14.107918624777652, 9.902129399059948, 15.21243767668278]",9.012279989596264
33,33,1a29,TFP,pocket4_atm.pdb,"[32.09753517384834, -9.824673064175022, 9.814869365319348]",24.87374564373116
34,34,1a29,TFP,pocket5_atm.pdb,"[22.44802229192396, 2.542870830940944, 4.849022172136082]",16.336560132332636
35,35,1a29,TFP,pocket6_atm.pdb,"[26.9147368151731, -2.7674338112429027, 15.783079853617648]",16.511259744486473
36,36,1a29,TFP,pocket7_atm.pdb,"[16.4324098113943, 16.337920399570162, 12.351485259287788]",16.293162369794167
37,37,1a29,TFP,pocket8_atm.pdb,"[24.47215946930949, 3.3963805918653236, 26.907649618664735]",17.16540850789002
38,38,1a29,TFP,pocket9_atm.pdb,"[30.55837782953301, 0.21753862548100167, 23.21602353140059]",20.74892168967775
